figure_id,token_id,type,word,sentence_id,left_edge,right_edge,tag,tag_equiv,depth,stem
0,0,Epizeuxis,that,38,16,20,IN,IN,5,that
0,1,Epizeuxis,that,38,20,24,DT,DT,3,that
1,0,Ploce,vote,2,30,34,VB,VB,8,vote
1,1,Ploce,vote,3,36,40,VB,VB,3,vote
2,0,Ploce,years,2,64,69,NNS,NN,2,year
2,1,Ploce,years,3,13,18,NNS,NN,9,year
3,0,Ploce,never,4,56,61,RB,RB,6,never
3,1,Ploce,never,5,90,95,RB,RB,12,never
4,0,Ploce,opportunity,4,66,77,NN,NN,5,opportun
4,1,Ploce,opportunity,5,100,111,NN,NN,11,opportun
5,0,Ploce,cast,4,79,83,VB,VB,3,cast
5,1,Ploce,cast,5,113,117,VB,VB,9,cast
6,0,Ploce,vote,10,55,59,NN,NN,1,vote
6,1,Ploce,vote,10,61,65,NN,NN,2,vote
7,0,Ploce,political,14,57,66,JJ,JJ,4,polit
7,1,Ploce,political,14,153,162,JJ,JJ,3,polit
8,0,Ploce,Assembly,18,25,33,NN,NN,5,Assembl
8,1,Ploce,assembly,18,77,85,NN,NN,2,assembl
9,0,Ploce,recommendations,18,133,148,NNS,NN,1,recommend
9,1,Ploce,recommendations,19,51,66,NNS,NN,1,recommend
10,0,Ploce,committee,19,3,12,NN,NN,7,committe
10,1,Ploce,committee,20,3,12,NN,NN,3,committe
11,0,Ploce,reach,19,69,74,VB,VB,2,reach
11,1,Ploce,reach,20,18,23,VB,VB,2,reach
12,0,Ploce,view,20,33,37,NN,NN,1,view
12,1,Ploce,view,21,24,28,NN,NN,3,view
12,2,Ploce,view,21,42,46,NN,NN,3,view
13,0,Ploce,views,21,58,63,NNS,NN,2,view
13,1,Ploce,views,22,23,28,NNS,NN,1,view
13,2,Ploce,views,23,115,120,NNS,NN,5,view
14,0,Ploce,people,23,17,23,NNS,NN,6,peopl
14,1,Ploce,people,23,95,101,NNS,NN,8,peopl
15,0,Ploce,discomfort,24,31,41,NN,NN,17,discomfort
15,1,Ploce,discomfort,24,65,75,NN,NN,12,discomfort
16,0,Ploce,issue,31,43,48,NN,NN,1,issu
16,1,Ploce,issue,32,83,88,NN,NN,5,issu
17,0,Ploce,opportunity,33,23,34,NN,NN,11,opportun
17,1,Ploce,opportunity,33,99,110,NN,NN,1,opportun
18,0,Ploce,changed,34,23,30,VBN,VB,6,chang
